"","Fit","Com","BF","J","N"
"H1",322.753345838396,0.203012510672124,1589.81998089596,2,"Level-1"
"2",322.753345838396,0.406025021344248,794.909990447978,4,"Level-1"
"3",322.753345838396,0.609037532016371,529.939993631985,6,"Level-1"
"H11",322.753345838396,8.12050042688495,39.7454995223989,2,"Level-2"
"21",322.753345838396,16.2410008537699,19.8727497611995,4,"Level-2"
"31",322.753345838396,24.3615012806549,13.2484998407996,6,"Level-2"
"H12",322.753345838396,1.57258294055151,205.237725474248,2,"ICC-effective"
"22",322.753345838396,3.14516588110301,102.618862737124,4,"ICC-effective"
"32",322.753345838396,4.71774882165452,68.4125751580827,6,"ICC-effective"
"H13",322.753345838396,0.705673630483035,457.369146155384,2,"MI-effective"
"23",322.753345838396,1.41134726096607,228.684573077692,4,"MI-effective"
"33",322.753345838396,2.11702089144911,152.456382051795,6,"MI-effective"
